HomeTeam,HomeScore,HomeSOG,Outcome,AwayTeam,AwayScore,AwaySOG,Outcome
HomeTeam,HomeScore,HomeSOG,Outcome,AwayTeam,AwayScore,AwaySOG,Outcome
Predators,4,32,True,Sharks,1,31,False
Penguins,7,27,True,Sabres,1,23,False
Red Wings,4,27,True,Maple Leafs,2,23,False
Oilers,5,40,True,Kraken,3,33,False
Flames,3,38,False,Jets,5,16,True
Canucks,4,32,True,Coyotes,0,7,False
Sharks,2,33,False,Predators,3,18,True
Blues,6,25,True,Blackhawks,0,24,False
Lightning,5,31,True,Panthers,2,29,False
Kings,6,36,True,Ducks,3,28,False
Wild,5,28,True,Stars,1,23,False
Senators,3,29,True,Canadiens,2,20,False
Capitals,4,32,True,Blue Jackets,3,39,False
Maple Leafs,5,26,True,Red Wings,1,19,False
Bruins,3,30,False,Devils,5,27,True
Islanders,3,16,True,Rangers,1,29,False
Golden Knights,5,26,True,Coyotes,1,24,False
Rangers,3,39,True,Lightning,1,26,False
Kings,3,30,False,Golden Knights,4,51,True
Capitals,2,35,False,Bruins,5,30,True
Hurricanes,4,43,True,Blue Jackets,1,32,False
Canadiens,4,23,True,Maple Leafs,3,32,False
Avalanche,5,35,True,Blackhawks,2,17,False
Ducks,5,27,True,Kraken,4,48,False
Oilers,5,25,True,Canucks,3,36,False
Penguins,6,53,True,Coyotes,2,28,False
Flyers,5,25,True,Devils,2,37,False
Sabres,4,36,True,Senators,1,36,False
Islanders,1,33,False,Panthers,3,29,True
Maple Leafs,3,39,True,Capitals,2,26,False
Wild,3,36,False,Rangers,7,35,True
Predators,1,32,False,Stars,4,29,True
Flames,5,27,True,Avalanche,3,25,False
Golden Knights,1,37,True,Blackhawks,0,27,False
Kings,1,27,False,Kraken,4,22,True
Blue Jackets,2,28,False,Lightning,5,39,True
Red Wings,3,40,True,Canadiens,0,29,False
Jets,4,34,True,Rangers,1,41,False
Sharks,1,19,False,Hurricanes,2,35,True
Sabres,3,27,False,Panthers,4,37,True
Flyers,3,31,True,Canucks,2,30,False
Bruins,6,43,True,Coyotes,3,24,False
Devils,2,39,False,Red Wings,5,22,True
Capitals,3,29,True,Canadiens,1,22,False
Maple Leafs,3,32,True,Senators,2,28,False
Penguins,6,45,True,Lightning,2,36,False
Islanders,7,38,True,Ducks,1,23,False
Blues,5,25,True,Blue Jackets,2,25,False
Wild,6,35,False,Kings,7,34,True
Stars,5,22,True,Predators,1,30,False
Oilers,3,29,False,Flames,4,42,True
Kraken,2,33,False,Golden Knights,5,30,True
Sharks,2,26,False,Blackhawks,5,25,True
Rangers,6,43,True,Ducks,4,22,False
Maple Leafs,2,28,False,Coyotes,4,19,True
Bruins,5,34,True,Panthers,3,41,False
Canadiens,3,39,True,Penguins,2,28,False
Capitals,6,30,True,Canucks,4,30,False
Red Wings,4,33,False,Kings,5,36,True
Wild,3,39,False,Avalanche,6,38,True
Stars,4,29,True,Jets,1,25,False
Kraken,1,23,False,Hurricanes,5,34,True
Devils,4,41,True,Ducks,2,20,False
Senators,7,31,True,Bruins,5,34,False
Blue Jackets,4,33,True,Canucks,3,35,False
Lightning,2,38,False,Flyers,3,24,True
Islanders,5,46,True,Sharks,2,28,False
Oilers,2,48,False,Sabres,4,24,True
